name,description,coordinates
Turbonett (NOC_TURB),"Turbonett(NOC_TURB)
id celda:
Isla: TORRE","[(14.610091666667, -90.525986111111)]"
TORRE ZONA 08 (GNCYGTZA),"TORRE ZONA 08(GNCYGTZA)
id celda:1011-1149
isla: TIVOLI
TORRE
SEGURIDAD TORRE","[(14.609444444444, -90.526111111111)]"
NAHUALA (SNAHGTNA),"NAHUALA(SNAHGTNA)
id celda:2336
Isla: TOTONICAPAN","[(14.842222222222, -91.318055555556)]"
CELDA ALASKA (SNAHGTAL),"CELDA ALASKA(SNAHGTAL)
id celda:2328
isla: TOTONICAPAN","[(14.845833333333, -91.358888888889)]"
TOTONICAPAN (TTNCGTTT),"TOTONICAPAN(TTNCGTTT)
id celda:2409
Isla: TOTONICAPAN","[(14.910555555556, -91.358333333333)]"
CELDA PALOMORA TOTONICAPAN (TSAXGTPT),"CELDA PALOMORA TOTONICAPAN(TSAXGTPT)
id celda:2905
isla: TOTONICAPAN","[(14.881027777778, -91.366219444444)]"
CELDA XANTUN (TTNCGTXA),"CELDA XANTUN(TTNCGTXA)
id celda:2908
Isla: TOTONICAPAN","[(14.911469444444, -91.383166666667)]"
CELDA LOS VASQUEZ (TTNCGTLV),"CELDA LOS VASQUEZ(TTNCGTLV)
id celda:2491
Isla: TOTONICAPAN","[(14.861388888889, -91.3954)]"
LA GOMERA_XT_DET (EGOMGTGX),"LA GOMERA_XT_DET(EGOMGTGX)
id celda:4099
Isla: ESCUINTLA","[(14.084156, -91.050981)]"
LA GOMERA (EGOMGTGO),"LA GOMERA(EGOMGTGO)
id celda:9327
isla: ESCUINTLA","[(14.081111111111, -91.052222222222)]"
NUEVA CONCEPCION_XT (ENCOGTNP),"NUEVA CONCEPCION_XT(ENCOGTNP)
id celda:6425
Isla: ESCUINTLA","[(14.188280561111, -91.29875)]"
NUEVA CONCEPCION (ENCOGTNC),"NUEVA CONCEPCION(ENCOGTNC)
id celda:2224
isla: ESCUINTLA","[(14.184444444444, -91.3)]"
PINULA_XT_TR (ETIQGTPI),"PINULA_XT_TR(ETIQGTPI)
id celda:4640
Isla: ESCUINTLA","[(14.2548, -91.3238)]"
TIQUISATE_XT_DET (EESCGTTX),"TIQUISATE_XT_DET(EESCGTTX)
id celda:4101
isla: ESCUINTLA","[(14.288398, -91.36780099999999)]"
CELDA EL RODEO (AUTODROMO LOS VOLCANES) (EESCGTER),"CELDA EL RODEO (AUTODROMO LOS VOLCANES)(EESCGTER)
id celda:2273
Isla: ESCUINTLA","[(14.394166666667, -90.83)]"
ESCUINTLA (EESCGTES),"ESCUINTLA(EESCGTES)
id celda:2203
isla: ESCUINTLA","[(14.300555555556, -90.78638888888898)]"
CELDA CERRO COLORADO (EGOMGTCO),"CELDA CERRO COLORADO(EGOMGTCO)
id celda:4201
Isla: ESCUINTLA","[(14.165777777778, -91.16630555555601)]"
CELDA LAS CRUCES ESCUINTLA (EGOMGTLC),"CELDA LAS CRUCES ESCUINTLA(EGOMGTLC)
id celda:3215
isla: ESCUINTLA","[(14.115083333333, -91.152055555556)]"
TIQUISATE (ETIQGTTI),"TIQUISATE(ETIQGTTI)
id celda:2218
isla: ESCUINTLA","[(14.289166666667, -91.367777777778)]"
CELDA EL MODELO SAN JOSE (ESJOGTMA),"CELDA EL MODELO SAN JOSE(ESJOGTMA)
id celda:1585
Isla: ESCUINTLA","[(13.9243, -90.8513)]"
CELDA CHULAMAR COUBICADO (ESJOGTCC),"CELDA CHULAMAR COUBICADO(ESJOGTCC)
id celda:4415
isla: ESCUINTLA","[(13.9217, -90.867669444444)]"
PUERTO DE SAN JOSE (ESJOGTPS),"PUERTO DE SAN JOSE(ESJOGTPS)
id celda:9341
isla: ESCUINTLA","[(13.926944444444, -90.819166666667)]"
CELDA COCALES (MPATGTCA),"CELDA COCALES(MPATGTCA)
id celda:2214
Isla: ESCUINTLA","[(14.396027777778, -91.19536111111098)]"
PATULUL (MPATGTPA),"PATULUL(MPATGTPA)
id celda:2215
isla: ESCUINTLA","[(14.420833333333, -91.16000000000001)]"
CELDA COCALES - SAN CARLOS (MPATGTCS),"CELDA COCALES - SAN CARLOS(MPATGTCS)
id celda:3734
isla: ESCUINTLA","[(14.379555555556, -91.16541666666701)]"
CELDA ESCUINTLA V (TREBOL) (ESLCGTEV),"CELDA ESCUINTLA V (TREBOL)(ESLCGTEV)
id celda:4202
Isla: ESCUINTLA","[(14.2854, -90.7979)]"
CELDA EL HATILLO (ESIQGTEH),"CELDA EL HATILLO(ESIQGTEH)
id celda:2207
isla: ESCUINTLA","[(14.2664, -90.8429)]"
EL CONACASTE _XT (EIZTGTCX),"EL CONACASTE _XT(EIZTGTCX)
id celda:6297
Isla: ESCUINTLA","[(13.92875, -90.660083330556)]"
